t,q1,q2,q3,q4,q5,q6,q7,qp1,qp2,qp3,qp4,qp5,qp6,qp7,xd,yd,zd,vxd,vyd,vzd,wxd,wyd,wzd,x,y,z,vx,vy,vz,wx,wy,wz
0.0106154,4.8378e-07,-1.10829,1.83694e-07,2.21653,-9.33147e-07,0.610909,1.0106e-06,4.55735e-05,-0.000222426,1.73045e-05,-0.00390349,-8.7905e-05,0.00412591,9.52014e-05,0,0,0,-0.0006216,0,0.00107657,0,0,0,0.0702441,-0.0246,0.588068,0,0,0,0,0,0
0.0122338,5.68778e-07,-1.10829,2.15971e-07,2.21652,-1.09708e-06,0.610917,1.18814e-06,5.25196e-05,-0.000255791,1.99435e-05,-0.00449873,-0.000101291,0.00475452,0.000109698,0,0,0,-0.000716266,0,0.00124076,0,0,0,0.070243,-0.0246,0.58807,0,0,0,0,0,0
0.013573,6.4681e-07,-1.10829,2.45603e-07,2.21651,-1.24757e-06,0.610924,1.35112e-06,5.82675e-05,-0.000283626,2.21265e-05,-0.00499124,-0.000112374,0.00527486,0.000121701,0,0,0,-0.000794636,0,0.0013766,0,0,0,0.0702419,-0.0246,0.588072,0,0,0,0,0,0
0.0157526,7.94201e-07,-1.10829,3.01574e-07,2.2165,-1.53182e-06,0.610937,1.65896e-06,6.76229e-05,-0.000328993,2.56794e-05,-0.00579279,-0.000130415,0.00612178,0.000141239,0,0,0,-0.000922201,0,0.00159768,0,0,0,0.0702399,-0.0246,0.588075,0,0,0,0,0,0
0.0168738,8.75413e-07,-1.10829,3.32414e-07,2.21649,-1.68844e-06,0.610944,1.82858e-06,7.24332e-05,-0.000352053,2.75068e-05,-0.00620518,-0.000139687,0.00655724,0.00015128,0,0,0,-0.000987759,0,0.00171144,0,0,0,0.0702388,-0.0246,0.588077,0,0,0,0,0,0
0.0180158,9.63728e-07,-1.10829,3.65953e-07,2.21649,-1.85875e-06,0.610952,2.01302e-06,7.73337e-05,-0.000375664,2.93681e-05,-0.0066252,-0.000149134,0.00700086,0.000161512,0,0,0,-0.00105456,0,0.0018273,0,0,0,0.0702376,-0.0246,0.588079,0,0,0,0,0,0
0.0191087,1.05337e-06,-1.10829,3.99996e-07,2.21648,-2.03162e-06,0.610961,2.20024e-06,8.20231e-05,-0.000398204,3.11494e-05,-0.00702716,-0.000158174,0.00742537,0.000171302,0,0,0,-0.00111848,0,0.00193818,0,0,0,0.0702364,-0.0246,0.588082,0,0,0,0,0,0
0.0201088,1.13969e-06,-1.10829,4.32779e-07,2.21647,-2.19808e-06,0.610968,2.38052e-06,8.63139e-05,-0.000418778,3.27793e-05,-0.00739501,-0.000166445,0.00781379,0.000180258,0,0,0,-0.00117696,0,0.00203966,0,0,0,0.0702352,-0.0246,0.588084,0,0,0,0,0,0
0.021109,1.23032e-06,-1.10829,4.67195e-07,2.21646,-2.37283e-06,0.610977,2.56977e-06,9.06049e-05,-0.000439338,3.44094e-05,-0.0077629,-0.000174716,0.00820224,0.000189216,0,0,0,-0.00123543,0,0.00214115,0,0,0,0.070234,-0.0246,0.588086,0,0,0,0,0,0
0.0227225,1.38768e-06,-1.10829,5.26957e-07,2.21645,-2.67627e-06,0.610991,2.89839e-06,9.7528e-05,-0.000472613,3.70391e-05,-0.00835635,-0.000188062,0.00882896,0.000203669,0,0,0,-0.0013298,0,0.00230485,0,0,0,0.0702318,-0.0246,0.58809,0,0,0,0,0,0
0.0239471,1.51354e-06,-1.10829,5.74759e-07,2.21644,-2.91896e-06,0.611002,3.16122e-06,0.00010278,-0.00049753,3.90346e-05,-0.00880684,-0.000198181,0.00930437,0.000214628,0,0,0,-0.00140134,0,0.00242914,0,0,0,0.0702301,-0.0246,0.588092,0,0,0,0,0,0
0.0249473,1.62063e-06,-1.10829,6.15432e-07,2.21643,-3.12545e-06,0.611012,3.38484e-06,0.000107069,-0.000517844,4.06644e-05,-0.00917479,-0.000206445,0.00969264,0.000223577,0,0,0,-0.00145976,0,0.00253066,0,0,0,0.0702286,-0.0246,0.588095,0,0,0,0,0,0
0.0259474,1.732e-06,-1.10829,6.5773e-07,2.21642,-3.34018e-06,0.611022,3.61739e-06,0.000111358,-0.00053819,4.2294e-05,-0.0095427,-0.000214709,0.0100809,0.000232527,0,0,0,-0.00151819,0,0.00263216,0,0,0,0.0702271,-0.0246,0.588098,0,0,0,0,0,0
0.0269475,1.84766e-06,-1.10829,7.01658e-07,2.21641,-3.56317e-06,0.611033,3.85889e-06,0.000115646,-0.000558486,4.39236e-05,-0.00991061,-0.000222972,0.0104691,0.000241475,0,0,0,-0.0015766,0,0.00273367,0,0,0,0.0702255,-0.0246,0.5881,0,0,0,0,0,0
0.0279476,1.96761e-06,-1.10829,7.47216e-07,2.2164,-3.79443e-06,0.611043,4.10934e-06,0.000119935,-0.000578731,4.55531e-05,-0.0102785,-0.000231233,0.0108573,0.000250422,0,0,0,-0.00163501,0,0.00283519,0,0,0,0.0702239,-0.0246,0.588103,0,0,0,0,0,0
0.0289478,2.09185e-06,-1.10829,7.94408e-07,2.21639,-4.03397e-06,0.611055,4.36876e-06,0.000124223,-0.000598925,4.71827e-05,-0.0106465,-0.000239493,0.0112454,0.000259367,0,0,0,-0.0016934,0,0.00293673,0,0,0,0.0702222,-0.0246,0.588106,0,0,0,0,0,0
0.0303006,2.26775e-06,-1.1083,8.61218e-07,2.21637,-4.37307e-06,0.611071,4.73601e-06,0.000130023,-0.000626352,4.93869e-05,-0.0111442,-0.000250669,0.0117706,0.00027147,0,0,0,-0.00177241,0,0.00307404,0,0,0,0.0702198,-0.0246,0.58811,0,0,0,0,0,0
0.0314984,2.42964e-06,-1.1083,9.22711e-07,2.21636,-4.68516e-06,0.611085,5.074e-06,0.000135157,-0.000650288,5.13381e-05,-0.0115849,-0.000260554,0.0122352,0.000282175,0,0,0,-0.00184229,0,0.00319567,0,0,0,0.0702176,-0.0246,0.588114,0,0,0,0,0,0
0.0326839,2.59589e-06,-1.1083,9.85862e-07,2.21635,-5.00565e-06,0.6111,5.42107e-06,0.000140237,-0.000673974,5.32693e-05,-0.0120212,-0.000270338,0.0126951,0.00029277,0,0,0,-0.00191145,0,0.00331604,0,0,0,0.0702154,-0.0246,0.588118,0,0,0,0,0,0
0.033879,2.76961e-06,-1.1083,1.05185e-06,2.21633,-5.34052e-06,0.611116,5.78373e-06,0.000145358,-0.000697778,5.5216e-05,-0.0124609,-0.000280199,0.0131587,0.000303449,0,0,0,-0.00198115,0,0.00343741,0,0,0,0.070213,-0.0246,0.588122,0,0,0,0,0,0
0.0350642,2.94791e-06,-1.1083,1.11958e-06,2.21632,-5.68419e-06,0.611132,6.15592e-06,0.000150436,-0.000721279,5.71464e-05,-0.0128971,-0.000289975,0.0136183,0.000314036,0,0,0,-0.00205025,0,0.00355778,0,0,0,0.0702106,-0.0246,0.588126,0,0,0,0,0,0
0.0362467,3.13179e-06,-1.1083,1.18943e-06,2.2163,-6.03862e-06,0.611149,6.53976e-06,0.000155502,-0.000744638,5.90723e-05,-0.0133322,-0.000299726,0.0140769,0.000324595,0,0,0,-0.00211917,0,0.00367789,0,0,0,0.070208,-0.0246,0.588131,0,0,0,0,0,0
0.0378602,3.39385e-06,-1.1083,1.28899e-06,2.21628,-6.5437e-06,0.611172,7.08675e-06,0.000162416,-0.000776744,6.17005e-05,-0.013926,-0.000313038,0.0147027,0.000339011,0,0,0,-0.00221327,0,0.00384174,0,0,0,0.0702045,-0.0246,0.588137,0,0,0,0,0,0
0.0391874,3.61694e-06,-1.1083,1.37374e-06,2.21626,-6.97367e-06,0.611193,7.55239e-06,0.000168097,-0.000802445,6.38614e-05,-0.0144145,-0.000323967,0.015217,0.000350847,0,0,0,-0.0022905,0,0.00397662,0,0,0,0.0702014,-0.0246,0.588142,0,0,0,0,0,0
0.0403766,3.8229e-06,-1.1083,1.45199e-06,2.21624,-7.37058e-06,0.611211,7.98223e-06,0.000173187,-0.000825451,6.57976e-05,-0.0148523,-0.000333759,0.0156777,0.000361451,0,0,0,-0.00235971,0,0.00409747,0,0,0,0.0701986,-0.0246,0.588147,0,0,0,0,0,0
0.0413767,4.00038e-06,-1.1083,1.51942e-06,2.21623,-7.7126e-06,0.611227,8.35263e-06,0.000177467,-0.000844621,6.74256e-05,-0.0152205,-0.000341989,0.0160651,0.000370363,0,0,0,-0.00241786,0,0.00419913,0,0,0,0.0701962,-0.0246,0.588151,0,0,0,0,0,0
0.0423769,4.18217e-06,-1.1083,1.58849e-06,2.21621,-8.0629e-06,0.611244,8.73199e-06,0.000181748,-0.00086391,6.9054e-05,-0.0155887,-0.000350224,0.0164526,0.00037928,0,0,0,-0.00247605,0,0.00430078,0,0,0,0.0701937,-0.0246,0.588156,0,0,0,0,0,0
0.0433771,4.36823e-06,-1.10831,1.65919e-06,2.21619,-8.42142e-06,0.611261,9.12026e-06,0.000186028,-0.000883118,7.06822e-05,-0.0159569,-0.000358455,0.01684,0.000388194,0,0,0,-0.00253423,0,0.00440245,0,0,0,0.0701912,-0.0246,0.58816,0,0,0,0,0,0
0.044581,4.59839e-06,-1.10831,1.74664e-06,2.21617,-8.8649e-06,0.611282,9.60053e-06,0.000191181,-0.000906384,7.26423e-05,-0.0164001,-0.000368368,0.0173065,0.000398928,0,0,0,-0.00260428,0,0.0045248,0,0,0,0.0701881,-0.0246,0.588165,0,0,0,0,0,0
